Membership No  Date Joined  Active  
    28925      2020-9-8     yes   
    92634      2019-5-24    yes   
    30800      2017-5-12    no    
    76088      2019-11-9    no    
    55555      2016-5-17    yes   
    84419      2016-7-19    yes   
    79582      2015-8-6     yes   
    89784      2016-11-9    no    
    12104      2019-3-20    yes   
    27141      2020-2-22    yes   
    27164      2020-11-17   yes   
    93053      2020-3-4     yes   
    57122      2016-11-24   no    
    31362      2018-10-15   no    
    36123      2020-12-12   yes   
    22316      2018-11-13   no    
    42520      2015-1-2     yes   
    34243      2015-10-14   yes   
    91318      2018-2-8     no    
    49656      2019-6-1     no    
