Membership No  Date Joined  Active  
    83248      2018-7-20    yes   
    43951      2015-5-8     no    
    27083      2016-11-17   no    
    14781      2016-6-5     no    
    52077      2020-4-19    yes   
    51788      2020-10-10   yes   
    36318      2015-3-7     no    
    99400      2015-1-1     yes   
    94845      2018-12-22   no    
    52146      2017-7-19    no    
    65091      2016-3-12    yes   
    70869      2018-11-21   no    
    13867      2020-8-21    yes   
    83569      2017-5-5     no    
    75496      2020-7-24    no    
    85992      2020-1-7     no    
    63912      2019-7-15    yes   
    60512      2018-1-5     no    
    69678      2016-2-4     yes   
    87199      2016-4-4     no    
